시군구,번지,본번,부번,단지명,전월세구분,전용면적,계약년월,계약일,보증금,월세,층,건축년도,도로명
부산광역시 강서구 녹산동,262-1,0262,0001,1동,월세,65.79,202111,9,4000,30,7,2017, 
부산광역시 강서구 녹산동,262-1,0262,0001,1동,월세,65.79,202111,10,2000,50,6,2017, 
부산광역시 강서구 녹산동,287,0287,0000,1동,월세,65.06,202111,19,1000,45,7,2017,화전산업대로 272-11
부산광역시 강서구 대저1동,2338-2,2338,0002,태원더블루원,전세,78.93,202201,11,14000,0,3,2017,대저로 286
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,전세,73.45,202111,10,25000,0,15,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,전세,28.93,202111,24,12000,0,6,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,월세,58.07,202111,29,3000,57,10,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,월세,28.93,202201,5,6000,20,2,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,전세,73.45,202201,10,24000,0,7,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,월세,73.45,202201,14,1000,77,2,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을 리베르하임 주상복합,전세,58.07,202202,10,20000,0,6,2021,공항앞길13번길 53
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,50.71,202111,11,20000,0,17,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,29.44,202111,14,12000,0,24,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202111,16,500,42,15,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202112,9,500,50,19,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202112,13,500,50,26,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202112,22,500,42,15,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202201,11,500,47,25,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202201,19,500,50,20,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,41.74,202202,3,18000,0,21,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,41.74,202202,5,16000,0,17,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,29.44,202202,12,13000,0,20,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,29.44,202202,21,13000,0,26,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202202,21,1000,45,20,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,29.44,202202,26,13000,0,26,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202203,19,500,43,20,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,41.74,202203,26,18000,0,25,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,29.44,202203,26,13000,0,20,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,전세,29.44,202204,2,13000,0,17,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202204,9,500,47,16,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202204,20,500,45,22,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202204,23,500,45,20,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202204,27,500,45,25,2020,명지국제7로 37
부산광역시 강서구 명지동,3594,3594,0000,더샵 명지퍼스트월드 2단지,월세,29.44,202204,30,500,47,18,2020,명지국제7로 37
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202111,8,6000,0,14,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202111,10,300,30,10,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202111,13,6500,0,16,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202111,20,6500,0,18,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202111,24,500,30,7,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202111,25,1000,25,5,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202111,25,6000,0,2,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202111,26,7000,0,17,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,3,1000,25,10,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,4,500,30,13,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202112,9,6000,0,5,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202112,15,6000,0,12,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,17,300,30,8,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,17,2000,20,3,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,23,300,30,7,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202112,25,6000,0,5,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,29,500,30,10,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202112,29,300,30,6,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202201,8,500,30,11,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202201,22,500,30,12,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202201,22,500,30,9,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202201,31,300,30,14,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,5,500,30,14,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,8,2000,20,3,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202202,8,6000,0,6,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,8,4000,15,18,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,9,300,30,15,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,11,1000,25,14,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,16,500,30,12,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,18,500,30,11,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,19,2000,25,12,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,19,500,30,16,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202202,19,5400,0,5,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,21,500,30,4,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,21,500,30,9,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,22,500,30,4,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,24,2000,20,3,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,25,300,30,7,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,25,300,30,3,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202202,28,500,30,6,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202203,1,500,33,10,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202203,2,1000,30,16,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202203,12,300,30,3,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202203,29,500,30,6,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202204,1,1000,30,19,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,전세,23.62,202204,5,5000,0,8,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202204,9,500,30,19,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202204,16,500,30,19,2015,명지오션시티9로 50
부산광역시 강서구 명지동,3229-26,3229,0026,명지 삼정그린코아 웨스트,월세,23.62,202204,20,2000,23,7,2015,명지오션시티9로 50
