시군구,번지,본번,부번,단지명,전월세구분,전용면적,계약년월,계약일,보증금,월세,층,건축년도,도로명
부산광역시 강서구 녹산동,262-1,0262,0001,유나베네스1차,전세,72.5242,202202,16,16000,0,6,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,0262,0001,유나베네스1차,월세,72.5242,202202,21,100,55,6,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,0262,0001,유나베네스1차,월세,72.5242,202203,19,2000,55,6,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,287,0287,0000,유나베네스2차,전세,52.9148,202111,3,11000,0,4,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,0287,0000,유나베네스2차,월세,71.3035,202205,13,1000,50,7,2017,화전산업대로 272-11
부산광역시 강서구 대저1동,2388-17,2388,0017,외진가센트럴타워,월세,44.0091,202111,1,500,30,12,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,0017,외진가센트럴타워,전세,61.5977,202111,5,22500,0,10,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,0017,외진가센트럴타워,월세,40.9155,202201,10,500,50,8,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,0017,외진가센트럴타워,전세,39.5072,202202,23,14100,0,8,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,0017,외진가센트럴타워,전세,61.5977,202202,23,19950,0,7,2019,대저로273번길 25
부산광역시 강서구 대저1동,7375,7375,0000,우창더뷰,전세,52.1206,202202,8,16000,0,8,2019,대저중앙로 9
부산광역시 강서구 대저1동,7375,7375,0000,우창더뷰,전세,54.5245,202202,9,15500,0,2,2019,대저중앙로 9
부산광역시 강서구 대저1동,7375,7375,0000,우창더뷰,월세,52.1206,202203,30,3000,55,6,2019,대저중앙로 9
부산광역시 강서구 대저1동,7375,7375,0000,우창더뷰,전세,54.5245,202205,31,17000,0,7,2019,대저중앙로 9
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,월세,68.0071,202111,8,1000,77,2,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,월세,68.0071,202111,8,5000,63,2,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,월세,66.9538,202111,9,10000,70,13,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,전세,63.7289,202112,24,25000,0,12,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,전세,64.8538,202112,29,12000,0,3,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,월세,32.3376,202112,31,1000,35,5,2021,공항앞길13번길 53
부산광역시 강서구 대저2동,2033-1,2033,0001,공항마을리베르하임주상복합,월세,79.34,202204,18,1000,103,12,2021,공항앞길13번길 53
부산광역시 강서구 명지동,3599-1,3599,0001,e편한세상명지,월세,98.969,202111,9,5000,135,18,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,0001,e편한세상명지,월세,98.969,202111,16,30000,30,27,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,0001,e편한세상명지,월세,87.985,202111,30,2000,85,6,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,0001,e편한세상명지,월세,87.985,202112,3,4000,65,16,2019,명지국제2로 80
