시군구,번지,본번,부번,건물명,전월세구분,전용면적,계약년월,계약일,보증금,월세,층,건축년도,도로명
부산광역시 강서구 강동동,29-320,0029,0320,행복빌라,월세,52.28,202201,11,6000,20,3,2013,낙동북로102번길 33
부산광역시 강서구 녹산동,546-17,0546,0017,에코시티,월세,62.2,202111,4,3000,30,5,2016,낙동남로582번길 14
부산광역시 강서구 대저1동,2304,2304,0000,투엑스원룸,월세,24.42,202202,15,5000,15,4,2013,체육공원로26번길 152
부산광역시 강서구 대저1동,384-9,0384,0009,한라빌105동,전세,64.6175,202202,14,15000,0,2,2017,공항로1309번길 96-32
부산광역시 강서구 명지동,1341-6,1341,0006,(1341-6),전세,29.9,202111,15,10000,0,2,2019,영강길17번길 64
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.4654,202111,2,24250,0,4,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,월세,84.469,202111,12,25000,45,3,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.469,202112,4,35000,0,3,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.469,202112,15,20700,0,3,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.895,202201,3,40000,0,2,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.9294,202201,7,34000,0,2,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.895,202201,22,35000,0,2,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,월세,84.1532,202201,28,20000,60,1,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.469,202202,4,21700,0,3,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.469,202202,18,21400,0,3,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.4654,202203,4,43000,0,4,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.4654,202203,4,43000,0,4,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.4654,202203,5,45000,0,4,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.1532,202203,17,39000,0,1,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.469,202203,28,35600,0,3,2019,명지국제13로38번길 11
부산광역시 강서구 명지동,3478-4,3478,0004,부산명지중흥S-클래스더테라스,전세,84.1532,202204,6,18000,0,1,2019,명지국제13로38번길 11
부산광역시 강서구 성북동,59-14,0059,0014,천가빌,월세,29.18,202205,2,200,25,4,2015,선창길 33
부산광역시 금정구 구서동,413-6,0413,0006,(413-6),월세,60.63,202204,13,1000,40,3,1981,수림로72번길 156
부산광역시 금정구 구서동,87-9,0087,0009,(87-9),월세,77.49,202202,25,8000,25,5,1981,구서로 12
부산광역시 금정구 구서동,86-40,0086,0040,강한베스트빌,월세,41.04,202203,3,500,40,3,2002,금정로233번길 61-10
부산광역시 금정구 구서동,415-38,0415,0038,고운빌라,전세,77.23,202202,3,15000,0,4,2001,수림로50번길 138-8
부산광역시 금정구 구서동,445-25,0445,0025,골드빌리지,월세,17.63,202205,3,500,35,3,2012,금정로219번길 10-22
부산광역시 금정구 구서동,1013-1,1013,0001,구서반석빌라,월세,132.33,202202,28,2000,75,2,1992,금샘로 417
부산광역시 금정구 구서동,1013-1,1013,0001,구서반석빌라,전세,132.33,202204,30,18500,0,2,1992,금샘로 417
부산광역시 금정구 구서동,158-11,0158,0011,금수주택,월세,58.98,202204,18,7000,10,2,1978,금강로 586
부산광역시 금정구 구서동,184-31,0184,0031,금홍빌,월세,15.26,202203,13,200,30,5,2012,구서중앙로 4-8
부산광역시 금정구 구서동,184-31,0184,0031,금홍빌,월세,15.26,202203,30,200,25,5,2012,구서중앙로 4-8
부산광역시 금정구 구서동,263-5,0263,0005,남산그린빌라2차,전세,69.27,202202,9,14000,0,3,2002,안뜰로20번길 11
부산광역시 금정구 구서동,1016-17,1016,0017,남산빌라4차,전세,54.9,202204,10,9400,0,4,1994,두실로37번길 26
부산광역시 금정구 구서동,1016-2,1016,0002,남산주택,월세,68.23,202201,20,2000,20,2,1991,금샘로420번길 32
부산광역시 금정구 구서동,1007-29,1007,0029,누보빌,전세,21.29,202112,2,5000,0,5,2015,두실로 55-12
부산광역시 금정구 구서동,1007-29,1007,0029,누보빌,월세,21.29,202201,17,2000,30,4,2015,두실로 55-12
부산광역시 금정구 구서동,1007-29,1007,0029,누보빌,전세,16.27,202202,10,5000,0,5,2015,두실로 55-12
부산광역시 금정구 구서동,1007-29,1007,0029,누보빌,월세,16.27,202202,20,2000,30,4,2015,두실로 55-12
부산광역시 금정구 구서동,1006-3,1006,0003,대성빌라,월세,58.36,202112,10,3000,25,3,1996,금샘로438번길 7
부산광역시 금정구 구서동,1006-3,1006,0003,대성빌라,전세,58.36,202112,10,8000,0,3,1996,금샘로438번길 7
부산광역시 금정구 구서동,465-7,0465,0007,대안빌라101동,월세,70.395,202112,3,2000,30,1,2002,금정로207번길 8-16
부산광역시 금정구 구서동,465-17,0465,0017,대안빌라102동,전세,70.395,202111,27,12000,0,1,2002,금정로207번길 8-14
부산광역시 금정구 구서동,464-2,0464,0002,대영8,월세,59.6,202205,12,7000,10,3,1981,수림로50번길 92
부산광역시 금정구 구서동,1018-11,1018,0011,대영빌라,월세,57.9,202204,19,1000,45,4,2001,두실로37번길 32-5
부산광역시 금정구 구서동,159-14,0159,0014,대운빌라,월세,76.83,202205,5,9000,20,4,1996,두실로15번길 12
부산광역시 금정구 구서동,467-3,0467,0003,대호맨션,전세,58.7,202203,26,7500,0,3,1983,구서온천천로 39
부산광역시 금정구 구서동,775-15,0775,0015,대흥빌라,월세,60.63,202201,22,2000,40,4,1999,금강로 461
부산광역시 금정구 구서동,775-54,0775,0054,대흥빌라A동,전세,57.37,202111,12,11000,0,4,1999,금강로 461-7
부산광역시 금정구 구서동,166-6,0166,0006,두실블루빌,전세,25.18,202202,22,3000,0,2,2004,중앙대로1929번길 40-3
부산광역시 금정구 구서동,184-33,0184,0033,뜨레빌,전세,16.19,202203,18,5500,0,7,2018,구서중앙로 4-16
부산광역시 금정구 구서동,164-20,0164,0020,모던스퀘어,월세,18.48,202202,4,500,40,3,2013,두실로7번길 46-1
부산광역시 금정구 구서동,1007-31,1007,0031,블루아,월세,15.99,202111,4,500,40,3,2016,두실로 55-6
부산광역시 금정구 구서동,816-6,0816,0006,비둘기,월세,45.42,202201,15,500,20,2,1981,금강로 572
부산광역시 금정구 구서동,246-4,0246,0004,삼성맨션시동,전세,50.46,202111,9,9000,0,3,1983,중앙대로1873번길 47
부산광역시 금정구 구서동,246-4,0246,0004,삼성맨션시동,전세,50.46,202203,6,10000,0,3,1983,중앙대로1873번길 47
부산광역시 금정구 구서동,183-13,0183,0013,삼우,월세,58.395,202204,19,7000,10,4,1983,중앙대로1926번길 14
부산광역시 금정구 구서동,1005-11,1005,0011,선경금정빌라,전세,181.77,202202,11,31500,0,2,1989,금샘로 437
부산광역시 금정구 구서동,167-20,0167,0020,성림맨션(167-20),전세,48.96,202112,23,10000,0,3,1983,중앙대로1929번길 26
부산광역시 금정구 구서동,167-20,0167,0020,성림맨션(167-20),월세,48.96,202203,30,8000,5,2,1983,중앙대로1929번길 26
부산광역시 금정구 구서동,1009-9,1009,0009,성우빌라,월세,48.5,202202,19,2000,20,2,1995,두실로45번길 13-3
부산광역시 금정구 구서동,415-37,0415,0037,성주빌라,전세,36.9,202205,24,10000,0,4,2002,수림로50번길 138-10
부산광역시 금정구 구서동,461-18,0461,0018,소심빌라,전세,77.68,202111,20,13000,0,4,2002,수림로66번길 118
부산광역시 금정구 구서동,1007-3,1007,0003,소정빌,월세,15.3225,202203,8,500,35,3,2013,두실로 63-7
부산광역시 금정구 구서동,462-16,0462,0016,신도주택,월세,60.07,202112,28,3000,30,3,1981,금강로380번길 47
부산광역시 금정구 구서동,164-7,0164,0007,신흥하이츠,월세,59.62,202205,3,10000,25,3,2017,두실로15번길 49
부산광역시 금정구 구서동,1007-10,1007,0010,아트빌,월세,14.04,202201,21,300,35,5,2016,두실로 55-10
부산광역시 금정구 구서동,1009-5,1009,0005,에버그린,월세,21.42,202111,3,3000,40,5,2014,두실로37번길 6
부산광역시 금정구 구서동,1009-5,1009,0005,에버그린,월세,17.65,202112,21,300,35,5,2014,두실로37번길 6
부산광역시 금정구 구서동,1005-10,1005,0010,영진블루빌,월세,15.21,202112,29,2000,20,2,2015,금샘로 439
부산광역시 금정구 구서동,1005-10,1005,0010,영진블루빌,전세,15.43,202202,25,5000,0,3,2015,금샘로 439
부산광역시 금정구 구서동,1008-11,1008,0011,오성골든빌,전세,16.01,202111,27,2000,0,2,2014,두실로 49-1
부산광역시 금정구 구서동,1008-11,1008,0011,오성골든빌,전세,14.95,202202,11,3500,0,4,2014,두실로 49-1
부산광역시 금정구 구서동,1008-11,1008,0011,오성골든빌,월세,16.01,202202,16,1000,18,4,2014,두실로 49-1
부산광역시 금정구 구서동,1008-11,1008,0011,오성골든빌,전세,16.01,202203,1,3500,0,3,2014,두실로 49-1
부산광역시 금정구 구서동,1007-9,1007,0009,오성골든타운,월세,18.21,202111,13,500,29,5,2015,두실로 55-16
부산광역시 금정구 구서동,1007-9,1007,0009,오성골든타운,월세,18.93,202201,10,2000,28,5,2015,두실로 55-16
부산광역시 금정구 구서동,1007-9,1007,0009,오성골든타운,월세,22.35,202201,28,2000,29,5,2015,두실로 55-16
부산광역시 금정구 구서동,1007-9,1007,0009,오성골든타운,전세,18.21,202202,14,4000,0,2,2015,두실로 55-16
부산광역시 금정구 구서동,1007-9,1007,0009,오성골든타운,전세,22.35,202205,9,7000,0,4,2015,두실로 55-16
부산광역시 금정구 구서동,158-9,0158,0009,원진더-빌,전세,79.735,202201,23,12000,0,2,2009,두실로23번길 20-4
부산광역시 금정구 구서동,258-19,0258,0019,위클라우드-2,월세,23.26,202111,28,500,40,2,2013,금강로446번길 9
부산광역시 금정구 구서동,486-47,0486,0047,이화하이츠,월세,79.82,202111,2,5000,45,4,2003,체육공원로19번길 32
부산광역시 금정구 구서동,198-7,0198,0007,일흥빌라비동,전세,54.12,202203,16,7300,0,1,1981,안뜰로8번길 11
부산광역시 금정구 구서동,269-5,0269,0005,정구빌라비동,전세,63.33,202201,25,12500,0,1,1996,안뜰로20번길 19
부산광역시 금정구 구서동,414-60,0414,0060,창아빌딩,월세,35.3,202204,1,1000,35,6,2003,금강로 434
부산광역시 금정구 구서동,486-41,0486,0041,청기와빌라B,전세,54.225,202203,15,10000,0,2,1994,체육공원로19번길 38
부산광역시 금정구 구서동,486-41,0486,0041,청기와빌라B,월세,54.225,202204,6,2000,40,2,1994,체육공원로19번길 38
부산광역시 금정구 구서동,489-22,0489,0022,청기와빌라C,전세,51.31,202201,19,9000,0,4,1995,체육공원로29번길 15
부산광역시 금정구 구서동,1007-12,1007,0012,큐갤러리,전세,15.37,202111,24,5000,0,4,2014,두실로 55-2
부산광역시 금정구 구서동,1007-12,1007,0012,큐갤러리,월세,15.37,202202,7,1000,35,2,2014,두실로 55-2
부산광역시 금정구 구서동,1007-12,1007,0012,큐갤러리,전세,16.97,202202,17,4500,0,3,2014,두실로 55-2
부산광역시 금정구 구서동,1007-12,1007,0012,큐갤러리,전세,16.97,202202,21,5000,0,1,2014,두실로 55-2
부산광역시 금정구 구서동,1007-12,1007,0012,큐갤러리,월세,18.45,202204,9,1000,30,2,2014,두실로 55-2
부산광역시 금정구 구서동,1024-4,1024,0004,크리스탈빌라,전세,163.83,202111,18,27000,0,-1,1990,두실로45번길 99
부산광역시 금정구 구서동,246-16,0246,0016,펠리체,월세,30.55,202202,15,1900,35,2,2013,중앙대로1873번길 17-8
부산광역시 금정구 구서동,468-3,0468,0003,한영주택(468-3),전세,46.28,202203,22,10000,0,1,1981,금정로207번길 7
부산광역시 금정구 구서동,1007-30,1007,0030,해동아트빌,월세,26.36,202112,27,4800,6,5,2015,두실로 55-8
부산광역시 금정구 구서동,1007-30,1007,0030,해동아트빌,월세,27.65,202201,23,1000,43,4,2015,두실로 55-8
부산광역시 금정구 구서동,184-26,0184,0026,해인빌,월세,19.08,202202,16,2000,23,3,2011,구서중앙로 4-5
부산광역시 금정구 구서동,184-26,0184,0026,해인빌,월세,15.05,202203,13,200,33,2,2011,구서중앙로 4-5
부산광역시 금정구 구서동,462-20,0462,0020,해피하우스,전세,12.09,202111,12,5000,0,3,2013,금정로219번길 33
부산광역시 금정구 구서동,462-20,0462,0020,해피하우스,전세,12.09,202202,14,5000,0,3,2013,금정로219번길 33
부산광역시 금정구 구서동,462-20,0462,0020,해피하우스,전세,30.1975,202204,9,9000,0,2,2013,금정로219번길 33
부산광역시 금정구 구서동,1007-21,1007,0021,현정리젠시,월세,15.935,202111,17,2000,30,3,2013,두실로 63-5
부산광역시 금정구 구서동,1007-21,1007,0021,현정리젠시,월세,18.688,202205,19,500,40,3,2013,두실로 63-5
부산광역시 금정구 금사동,414,0414,0000,(414-0)가.나.다.라.동,전세,39.47,202205,14,3000,0,1,1980,서금로 105
부산광역시 금정구 금사동,367-4,0367,0004,거성주택,전세,50.82,202203,29,7500,0,1,1991,금사로87번길 12-9
부산광역시 금정구 금사동,59-7,0059,0007,그린스위트,월세,18.1,202204,27,500,53,4,2017,서곡로20번길 120
부산광역시 금정구 금사동,27-7,0027,0007,금동,전세,40.33,202112,13,2500,0,2,1980,회천로5번길 80
부산광역시 금정구 금사동,132-2,0132,0002,금사빌라AB동,전세,61.68,202205,13,8000,0,4,1992,금사로 75-7
부산광역시 금정구 금사동,29-5,0029,0005,모정맨션,월세,42.5,202205,9,300,35,2,1982,서금로 122
부산광역시 금정구 금사동,521-5,0521,0005,성우빌라103동,월세,75.66,202112,9,5000,20,2,1997,금사로85번길 122
부산광역시 금정구 금사동,521-5,0521,0005,성우빌라103동,월세,75.66,202112,9,5000,20,2,1997,금사로85번길 122
부산광역시 금정구 금사동,527-6,0527,0006,숲속빌라A동,전세,78.24,202203,26,15000,0,1,2001,서금로 83-1
부산광역시 금정구 금사동,527-6,0527,0006,숲속빌라A동,전세,78.24,202203,26,15000,0,1,2001,서금로 83-1
부산광역시 금정구 금사동,26-1,0026,0001,신일맨션B동,전세,43.5,202111,30,5000,0,1,1982,금사로 137-1
부산광역시 금정구 금사동,485-14,0485,0014,천우델타빌,월세,44.29,202111,1,3000,15,3,2003,회천로13번길 92
부산광역시 금정구 금성동,520-6,0520,0006,(520-6),전세,75.89,202201,25,17000,0,1,2018,중리3길 30
부산광역시 금정구 금성동,520-9,0520,0009,그린나이스,월세,57.93,202203,9,4000,35,1,2018,중리2길 33
부산광역시 금정구 남산동,115-16,0115,0016,(115-16),월세,16.62,202111,10,400,30,5,2014,중앙대로2035번길 27-1
부산광역시 금정구 남산동,115-16,0115,0016,(115-16),월세,16.62,202111,21,500,35,3,2014,중앙대로2035번길 27-1
